country,fifa_ranking,fifa_points,equality_index
Brunei,194,857.73,3.0
Sao Tome and Principe,195,855.44,46.0
Djibouti,196,853.58,33.0
Cayman Islands,197,850.06,
Somalia,198,839.17,0.0
Pakistan,199,837.15,33.0
Tonga,200,835.64,9.0
Timor-Leste,201,831.0,54.0
Gibraltar,202,820.26,
Guam,203,819.54,
Seychelles,204,804.16,61.0
Turks and Caicos Islands,205,803.98,
Liechtenstein,206,797.7,69.0
Bahamas,207,786.82,30.0
US Virgin Islands,208,779.76,
British Virgin Islands,209,777.41,
Anguilla,210,760.25,
San Marino,211,721.2,67.0
